Kaseta VHS Największa tajemnica Hitlera - Riese	Witkowski I.	WIS-2	"Filmowa prezentacja tematów i miejsc opisanych w trzeciej części książki \""Supertajne bronie Hitlera\"" Ukazuje ślady prowadzonych prac, pozostawione  elementy infrastruktury, tajemnicze obiekty podziemne oraz interesujące wypowiedzi ekspertów. Film rozszerza książkową tematykę prezentując nowe, intrygujące fakty."
Kaseta VHS Riese - Olbrzym	Stojak W.	Agencja FILM-S	"Ochrzczony przez budowniczych kryptonimem \""Riese\"" podziemny kompleks, od z górą 50 lat budzi emocje i rozpala wyobraźnię tropicieli tajemnic i poszukiwaczy skarbów. Podziemna fabryka zbrojeniowa, laboratoria atomowe, czy może wyjątkowo rozbudowana kwatera Hitlera? Ten film został zrealizowany podczas kilku sowiogórskich ekspedycji, którym udało się dotrzeć w miejsca dotąd nieznane."
Twierdza Europa	Kaufmann R.	Bellona	To zupełnie unikatowe dzieło przekrojowo opisujące i pokazujące fortyfikacje w Europie w przededniu drugiej Wojny Światowej. Choć wiele z nich budowano zarówno w XIX jak i XX wieku w obliczu nowych taktyk wojennych takich jak - Wojna Błyskawiczna - okazały się w większości nieprzydatnymi. Wielka ilość ilustracji i zdjęć a także liczne schematy pozwalają na zrozumienie koncepcji i stadiów rozwoju umocnień w poszczególnych krajach.
Kwatery główne Fuhrera	Zeidler F. W., Zeigert D.	Colori	Przegląd kwater wodza Trzeciej Rzeszy powiązany z tłem historycznym a także realiami technicznymi i ekonomicznymi procesów budowy stanowi nie tylko źródło wiedzy ale także fascynującą literaturę faktu. Bardzo istotny fragment jest poświęcony budowie Riese podając nowe interesujące fakty i wydarzenia z budowy. Bogata bibliografia świadczy o solidnym podejściu do tematu. 
Zagrabione, ukryte, zniszczone skarby Rosji. Kulisy poszukiwań	Owsjanow A. P.	Cinderella Books	To bodajże pierwsze na polskim rynku wydawnictwo opisujące poszukiwania na terenie Rosji. Awenir Owsjanow pracownik specjalnego urzędu do spraw poszukiwania zaginionych podczas wojny Rosyjskich dzieł sztuki przedstawia swoje metody pracy i zakres poszukiwań na obszarze Obwodu Kaliningradzkiego. Oczywiście znaczną część jego poszukiwań poświęcona jest  bursztynowej Komnacie przechowywanej w czasie wojny na Królewieckim 
Wojna w powietrzu 1939-1945	Piekałkiewicz J.	AWM	Fragmenty oryginalnych tekstów pochodzących z dokumentów, ulotek, rozkazów, przemówień, odezw i audycji radiowych a także doniesień agencji informacyjnych składają się na tą niezwykłą książkę dającą czytelnikowi zupełnie nowe spojrzenie na wydarzenia lat wojny. Przedstawione tu epizody uporządkowano chronologicznie, z uwzględnieniem punktów widzenia wszystkich uczestników konfliktu. Niezwykle ciekawie wypada konfrontacja oficjalnych doniesień przeciwników w walce, świadcząca o ogromnym znaczeniu propagandy. Setki nieznanych zdjęć archiwalnych, reprodukcje schematów, plakatów, ulotek i map w nadzwyczaj realistyczny sposób oddają pełną dramatyzmu atmosferę dni wojny. Niezwykle staranne wydanie, użycie papieru kredowego i format bliski A4 są dodatkowym atutem pozycji. 
Wojna pancerna 1939-1945	Piekałkiewicz J.	AWM	Fragmenty oryginalnych tekstów pochodzących z dokumentów, ulotek, rozkazów, przemówień, odezw i audycji radiowych a także doniesień agencji informacyjnych składają się na tą niezwykłą książkę dającą czytelnikowi zupełnie nowe spojrzenie na wydarzenia lat wojny. Przedstawione tu epizody uporządkowano chronologicznie, z uwzględnieniem punktów widzenia wszystkich uczestników konfliktu. Niezwykle ciekawie wypada konfrontacja oficjalnych doniesień przeciwników w walce, świadcząca o ogromnym znaczeniu propagandy. Setki nieznanych zdjęć archiwalnych, reprodukcje schematów, plakatów, ulotek i map w nadzwyczaj realistyczny sposób oddają pełną dramatyzmu atmosferę dni wojny. Niezwykle staranne wydanie, użycie papieru kredowego i format bliski A4 są dodatkowym atutem pozycji. 
Słownik ubiorów	Turnau I.	Semper	Ta unikalna książka jest zbiorem informacji o ubiorach, w całej ich barwności i bogactwie, noszonych przez ludzi różnych stanów zamieszkujących ziemie dawnej Rzeczypospolitej z uwzględnieniem Śląska i Pomorza. Słownik gromadzi nazwy ubiorów i dodatków do nich, uzbrojenia zaczepnego i obronnego noszonego na sobie, ozdób oraz określeń barw. Zawiera 2705 zdefiniowanych haseł i terminów uzyskanych z pierwszych zachowanych opisów odzieży począwszy od XIV w. aż do końca XVIII.
Wernher von Braun. Z Dory na Księżyc	Piszkiewicz D.	Bellona	"Pierwsza w Polsce pełna, krytyczna biografia Wernhera von Brauna, niemieckiego arystokraty, twórcy ""cudownej broni"" III rzeszy - pocisku batalistycznego V-2, który dał początek powojenym generacjom rakiet i pojazdów kosmicznych. Autor, w celu odtworzenia losów genialnego konstruktora wykorzystał utajnione wcześniej dokumenty US Army, relacje więźniów obozów koncentracyjnych oraz informacje zawarte w osobistych papierach von Brauna."
Zarys historii twierdzy Modlin 	Bochenek R.	TPF	W książce przedstawiono historię twierdzy Modlin w XIX i XX wieku. Liczne fotografie, plany, mapy, bibliografia, słownik terminologiczny. 
Twierdza Kraków znana i nieznana cz. II	Łukasik H.	Arkadiusz Wingert	W części drugiej opisano odcinek zachodni i południowy (od Traktu Olkuskiego do dolnej Wisły). W książce zamieszczono szkice.
Historia warszawskiej Cytadeli	Łagowski S.	AJAKS	"Druga, po ""Historii garnizonu Modlin"" monografia dotycząca dziejów fortyfikacji wydana przez Oficynę Ajaks. Przedstawia historię Cytadeli od pierwszych dni jej budowy do czasów wspólczesnych. Z tej opowieści poznamy genezę i proces powstawania twierdzy, jej rolę w konfliktach zbrojnych na przestrzeni lat oraz losy poszczególnych budowli po 1945 roku.  "
Linia Maginota	Kaufmann J., Kaufmann H.	Bellona	"Kolejny po \""Twierdzy Europa\"" portret słynnych umocnień w ramach serii \""Budowle obronne\"". Przedstawia szczegółową budowę obiektów, ich rozmieszczenie i uzbrojenie oraz udział w działaniach wojennych. "
Twierdza Warszawa	Królikowski L.	Bellona	Głównym celem tej obszernej monografii jest dokładne opisanie obiektów należących do twierdzy warszawskiej oraz ukazanie stanu zachowania jej materialnych śladów na terenie dzisiejszego miasta. Nie pominięto wiadomości o genezie powstania umocnień oraz o poszczególnych etapach ich budowy. Całość jest niezwykle bogato ilustrowana współczesnymi oraz archiwalnymi zdjęciami i planami. Autor ubolewa nad systematycznym niszczeniem pozostałości twierdzy i zaprasza do konfrontacji danych zawartych w pracy z rzeczywistością dopóki jeszcze to możliwe...
Historia służby geograficznej i topograficznej Wojska Polskiego	Sobczyński E.	Bellona	Książka opisuje dzieje polskich służb topograficznych i dzieje map, które już od najdawniejszych czasów były stosowane do celów militarnych. Autor przedstawił polskich wojskowych topografów oraz ich dzieła, od pierwszej mapki wojskowej sporządzonej w 1579 roku po topograficzne i wektorowe mapy wykonywane obecnie techniką numeryczną. 
AB lokalizacji satelitarnej GPS w sporcie, turystyce i rekreacji	Graszka W., Lipiński E.	Horyzonty	Fachowy podręcznik opisujący sposoby posługiwania się sprzętem do lokalizacji satelitarnej. Przedstawia urządzenia GPS i ich działanie, doradza jaki odbiornik kupić, opisuje ich zastosowanie w turystyce i sporcie. Duży rozdział poświęcono współpracy GPS z mapami i sposobom prawidłowego obliczania pozycji.
Gazeta Rycerska nr 1	Sensacje średniowiecza, bitwy, zamki, turnieje, współcześni wojownicy	IBHiK	W czasopiśmie znajduje się wywiad z prof. Henrykiem Samsonowiczem, artykuły o: zarazach i epidemiach w średniowieczu; średniowiecznych miastach; biesiadach; truciznach; torturowaniu czarownic; katach; malborskiej twierdzy; polskich bractwach rycerskich; tarczy jako elemencie uzbrojenia; sztuce oblężniczej; rynsztunku wojownika; kobiecych nakryciach głowy.
Dolny Śląsk jakiego nie znacie	Lamparska J.	Asia-Press s.c.	"Kto wywiózł z Nowej Wsi welon Królowej Marii Antoniny? Dlaczego wysadzono wieżę na Śnieżniku? Co Niemcy ukryli w Baranim Wąwozie? Czy Kolumb odkrył Amerykę dzięki złotostockim kopalniom? Śladem takich zagadek podążycie czytając ten ""przewodnik inny niż wszystkie"". Jest on pierwszą częścią czterotomowego cyklu i obejmuje południowo-wschodni obszar Dolnego Śląska oraz okolice Złotoryi. Autorka, dziennikarka ""Słowa Polskiego"" i redaktor naczelna miesięcznika dla poszukiwaczy skarbów ""Odkrywca"" od lat tropi niezwykłości Dolnego Śląska. Opisuje nie tylko atrakcyjne turystycznie miejsca, ale przede wszystkim związane z nimi zagadki i fascynujących ludzi. Tajemnice mają przecież wszystkie zamki, pałace, wieże widokowe, jaskinie, podziemne miasta, twierdze i sanktuaria. Ich zawiłe historie wciągną Was już od pierwszej strony."
Prawda o wunderwaffe, tom 1	Witkowski I.	WIS-2	"""Prawda o Wunderwaffe"" to prawdziwa księga, kompendium wiedzy o najbardziej nowoczesnych technicznie broniach i projektach badawczych III Rzeszy. Bardzo duża część tej ""księgi"" zawiera informacje i dokumenty nigdy nie publikowane przez innych autorów. Jest tu cały obszerny rozdział o broniach elektromagnetycznych, o broniach mających być następnym krokiem w stosunku do V-1 i V-2, o broni pancernej zupełnie nowej generacji (armata stabilizowana, celowniki nocne, napęd turbinowy, elektromagnetyczne przeniesienie napędu), o nowych koncepcjach w dziedzinie broni konwencjonalnej, kilkanaście typów broni kierowanych i kilkadziesiąt typów głowic samonaprowadzających (w tym detektory półprzewodnikowe), myśliwce i pociski naddźwiękowe o napędzie strumieniowym, powojenny drenaż niemieckiej techniki, ale także: zupełnie nowe podejście do broni chemicznej, biologicznej i projektów jądrowych. Aż 55 stron poświęcono udokumentowanemu opisowi projektu Wunderwaffe, broni strategicznej, która bez wątpienia całkowicie zmieniłaby bieg wojny, nawet na początku 1945 roku. Jest to jak dotychczas najobszerniejszy opis tego projektu."
Kwatery główne Hitlera oraz niemieckie stanowiska dowodzenia w Polsce	Szymańscy M. i J.	Imax	Książka ta przybliża genezę powstania i kształt systemu niemieckich kwater głównych oraz stanowisk dowodzenia wzniesionych podczas II wojny światowej w Polsce ( Wolfschanze, Breitenheide, Robinson, Hochwald, Wendula, Anlage Mitte, Anlage Sud, Riese), na tle innych tego typu, niemieckich przedsięwzięć w Europie. Książka ta zawiera szczegółowy przegląd niemieckich kwater dowodzenia na terenie Europy, liczne fotografie, mapy, plany.
Bagnet wojskowy. Poradnik kolekcjonera	Prószyński M.	REA	Opracowanie przedstawia historię bagnetu - broni piechoty - począwszy od jego pojawienia się w wojsku w połowie XVII wieku aż do czasów współczesnych. Na uwagę zasługuje ewolucja techniczna tej broni, jaka zaszła w okresie trzystu pięćdziesięciu lat. Praca przeznaczona jest dla miłośników historii wojskowości, miłośników broni i kolekcjonerów, którzy obok obszernie opisanej historii bagnetów w krajach europejskich znajdą tu ponad 320 fotografii przedstawiających rozwój tej broni od 1640 roku. Katalog zawiera krótkie opisy techniczne prezentowanej broni, a dwa zestawienia bagnetów zamieszczonych w katalogu - chronologicznie i według długości - stanowią wielką pomoc dla kolekcjonerów. Miłośników wojskowości zainteresują także barwne fragmenty wspomnień żołnierzy i oficerów opisujących bitwy i potyczki troczone, oczywiście, z bagnetem w ręku. 
Najsłynniejsze karabiny świata	Ford R.	Bellona	Autor, znany specjalista w dziedzinie broni palnej przedstawia następujące zagadnienia:<br>- od broni odprzodowej do naboju z łuską mosiężną<br>- okres przejściowy<br>- rozwój karabinów z zamkiem ślizgowo-obrotowym<br>- karabiny samopowtarzalne i szturmowe<br>- karabiny sportowe i wyborowe<br>książka wydana w formacie A4 na kredowym paierze zawiera ponad 50 kolorowych rycin, schematów i przekrojów oraz ponad 120 kolorowych i czarno-białych fotografii. 
Twierdza Przemyśl. Pierwszy obwód obronny	Idzikowski T.	ROKEiN	Niniejsza publikacja jest pierwszym tomem z planowanej serii ośmiu składających się na katalog dotyczący problematyki Twierdzy Przemyśl. Całość serii pomyślana jest jako katalog obiektów fortyfikacyjnych (forty, szańce, baterie artyletyjskie itp.) oraz obiektów zaplecza (koszary, magazyny, prochownie itp.) W celu ułatwienia korzystania z katalogu autorzy podzielili I obwód obronny na pięć rejonów. Każda z części katalogu zawiera współczesne i archiwalne fotografie wybranych obiektów, plany prezentujące stan zabudowy na rok 1900, krótkie opisy rejonu, plany i opisy dzieł obronnych oraz plany i opisy obiektów zaplecza. W miarę dostępności materiałów przy każdym obiekcie znajduje się opis, prezentujący stan obiektu w 1914 roku oraz zniszczenia dokonane po kapitulacji twierdzy w 1915 i w okresach późniejszych.
Zamki i warownie ziemi mazowieckiej	Sypek A. i R.	Egros	"""Zamki, grody i warownie Polski"" to seria przewodników historyczno-turystycznych po szlakach i zabytkach architektury obronnej Polski. W książce miłośnicy architektury związanej m. in z wydarzeniami militarnymi okresu średniowiecza i czasów nowożytnych znajdą oprócz interesujących opisów bogaty zbiór zdjęć, dokumentów, map, planów i rekonstrukcji. Niezwykle kolorowy i atrakcyjny przewodnik pomoże dotrzeć do zamków, grodów, miast warownych wybranej krainy, poznać ich historię i poczuć klimat czasów ich świetności."
Skarby Polski	Skrok Z.	Bellona	Polska jest jednym z najdotkliwiej doświadczonych przez historię państw w Europie. Wojny, najazdy, zabory - wszystkie te dziejowe kataklizmy pozbawiły nas tysięcy elementów historycznego i kulturalnego dziedzictwa. Wiele z nich przepadło na zawsze, wiele też zamknięto w tajnych skrytkach budowli, w jaskiniach, wreszcie po prostu zakopano. Szansą na ich odnalezienie są prowadzone przez naukowców i pasjonatów poszukiwania. O najciekawszych z nich opowiada ta właśnie książka.
T-34 Mityczna broń	Michulec R.	Armagedon	"""... T-34 był po części źle skonstruowanym, produkowanym w fatalnych warunkach czołgiem. Jego walory bojowe i jezdne wcale nie były doskonałe, jak to się nagminnie twierdzi. Wóz charakteryzował się dużą awaryjnością, a sposób jego wykorzystania w akcji można określić tylko jako nieporozumienie. Dopiero po wojnie udało się stworzyć dobre jakościowo T-34. Jego służba w wojskach Układu Warszawskiego oraz wrażenie doskonałości płynące z eposu rycerskiego ""Czterej pancerni i pies"" sprawiły, iż w powszechnej opinii ten wóz uchopdzi za przykład bez mała broni doskonałej. Przeniesienie walorów wozu z lat 50-tych na obraz II w.ś. spowodowało, iż z T-34 uczyniono broń mityczną. Książka ta, mam nadzieję, daje odpowiedź na pytanie dlaczego do tego doszło. Jednocześnie przedstawiając mocne i słabe strony czołgu na tle wojennych realiów, ukazuje T-34 we właściwej perspektywie ..."" "
Niemcy na Pomorzu Gdańskim i Kujawach	Stankowski W.	Wyd. Akademii Bydgowskiej	Temat powojennych losów ludności niemieckiej na ziemiach przekazanych Polsce przestał być już białą plamą na kartach historii. Nadal jednak mamy na rynku pewien niedosyt poważnych opracowań na ten temat. Dlatego warto zwrócić uwagę na pracę ukazującą dzieje Niemców na Pomorzu Gdańskim i części Kujaw. Książkę podzielono na chronologiczne części odzwierciedlające następstwo wydarzeń w interesującym nas okresie. Na wstępie ukazano życie ludności niemieckiej na Pomorzu Gdańskim, miejsce i rolę, jaką odgrywała w społeczeństwie tego regionu na przestrzeni lat 1918-1945.  Następnie  szczegółowo omówiono plany oraz kierunki ewakuacji i ucieczki Niemców w końcowej fazie wojny, scharakteryzowano życie codzienne ludności niemieckiej, akcję ?dobrowolnych? wyjazdów, stosunek polskiej części społeczeństwa oraz władz do Niemców, ich zatrudnienie oraz pobyt w obozach internowania i pracy. Problematykę poruszaną w pracy zamyka temat przymusowego wysiedlenia ludności niemieckiej. Obok postanowień międzynarodowych dotyczących wysiedleń zawiera opis kryteriów decydujących o wysiedleniu, przygotowań strony polskiej do tej akcji i realizację wysiedleń. 
Podziemia i wody kryją skarby	Antkowiak W.	Bellona	Kolejna książka znanego choć kontrowersyjnego poszukiwacza i publicysty, współzałożyciela i przewodniczącego Międzynarodowej Agencji Poszukiwawczej (MAP). Przedstawia 121 miejsc interesujących dla poszukiwaczy skarbów. Niektóre z nich, wzmiankowane lub opisywane w poprzednich książkach, pojawiają się ponownie ze względu na możliwość przedstawienia nowych, istotnych informacji. 
Mroczny labirynt	Adamczewski L.	PSO	"""Mroczny labirynt"" to szósta książka Leszka Adamczewskiego, dziennikarza ""Głosu Wielkopolskiego"". To kolejna książka o tajemnicach drugiej wojny światowej: podziemnych fabrykach zbrojeniowych, ukrytych i odnalezionych skarbach, tajnych kwaterach oraz wydarzeniach, o których rzadko piszą historycy. Tym razem przeniesiemy się w raz z autorem do ostatniego dnia sierpnia 1939 r. do Gliwic, Tczewa i Chojnic; odwiedzimy niektóre miejsca dolnośląskiego skarbca; spenetrujemy podziemia Kamiennej Góry; będziemy świadkami dramatycznych wydarzeń z przełomu lat 44/45 w Prusach Wschodnich oraz upadku Twierdzy Kostrzyn. Na koniec zagłębimy się w mroczny labirynt międzyrzeckiego Rejonu Umocnionego w poszukiwaniu skarbów z Muzeum Cesarza Fryderyka w Poznaniu..."
Fortyfikacje Węgierskiej Górki	Sadowski J., Suchanek P.	Interfon Sp. z o.o.	"Walki stoczone w obronie Węgierskiej Górki w trakcie wojny obronnej Polski w 1939 r. spowodowały, że zbudowane tu fortyfikacje jednego z ośrodków oporu Armii \""Kraków\"" wcześnie stały się obiektem zainteresowania. Niniejsza książka to efekt badań rozwijających wcześniejsze publikacje i łączacych w całość rozerwane dotychczas tematy obrony Węgierskiej Górki, umocnień i ich budowy z losami obrońców. Opis fortyfikacji oparty został na wynikach badań terenowych i na pomiarach, których wyniki zweryfikowały np. uproszczenia zawarte w niemieckiej publikacji \""Denkschrift uber die polnische Landesbefestigung\"
Artyleria Twierdzy Przemyśl	Kurek J. W., Kurek M.	Przemyśl 2002	Treść książki odsłania rąbek tajemniczej wiedzy o tej dużej broni jakimi są: armaty, mooździerze, haubice. Jest to rys historyczny traktujący o jej rozwoju na przestrzeni wieków i jak doszło do jej dominacji przez doskonałość.<br>Początek, to okres ogniowy: proch czarny, kule kamienne, ładowanie od wylotu, a więc lufy gładkie, z brązu. W ramach doskonalenia lufy mosiężne, bruzdowane, ładowanie odtylcowe, zamki. Ponadto lepsze osiągi przez zastosowanie prochu bezdymnego i pocisków o wydłużonym kształcie cygara. Większa celność i odległość do ok. 40 kilometrów. Wyzwolono przy tym procesy myślowe konstruktorów obiektów obronnych oraz zastosowano nowe materiały konstrukcyjne, m.in. żelazo-beton, stanowiska pancerne, granit, żelbet.Z omawianego tematu, w chwili obecnej, pozostały tylko relikty Twierzy Przemyskiej i literatura, do czytania której zaczęcamy Czytelników, bo warto wiedzieć więcej i lepiej... 
Katalog polskiego plakatu wojskowego	Ministerstwo Obrony Narodowej	Agencja Wydawnicza CB	Ten wydany na papierze kredowym w formacie A4 album stanowi unikalny zbiór reprodukcji polskich plakatów wojskowych z lat 1914-2001. Zbiór zawiera 322 plakaty pochodzące ze zbiorów wielu muzeów i archiwów, a także kolekcji prywatnych. Opisy katalogowe zawierają wszelkie dane jakie udało się zdobyć, a więc autora, cały tytuł, datę powstania, wszystkie cechy typograficzne oraz miejsce, gdzie przechowywany jest oryginał pracy. Autorami niektórych są wielcy, znani artyści, niektóre są zupełnie anonimowe, wszystkie jednak stanowią wpaniałe świadectwo minionej historii, mają znaczenie nie tylko sentymentalne ale i artystyczne.   
Bitwy pancerne	von Mellenthin F. W.	Oskar	Ta książka, napisana przez niemieckiego oficera Sztabu Generalnego, na podstawie doświadczeń zdobytych przez niego podczas wielkich kampanii II wojny światowej, została uznana przez recenzentów z Europy zachodniej za opracowanie niemal kultowe. Autor prezentuje historię z niemieckiego punktu widzenia, lecz starając się przedstawić czytelnikom obiektywną relację z pól bitewnych, korzysta również z wielu opracowań brytyjskich i amerykańskich. Wędrówkę śladem niemieckich wojsk pancernych zaczynamy od ataku na Polskę we wrześniu 1939 r., kiedy to autor był oficerem oddziału rozpoznania. Potem towarzyszymy mu na szlaku bojowym we Francji, na Bałkanach, w Afryce, w Rosji aby w końcu obserwować ostatnie bitwy w 1945 r., kiedy był już zdymisjonowany ze stanowiska szefa sztabu Grupy Armii G.
Operacja Twierdza Alpejska	Kaltenegger R.	Oskar	"Na tę książkę, wszyscy zainteresowani II wojną światową, czekaliśmy pół wieku. Ronald Kaltenegger cierpliwie zbierał do niej materiały. Zajęło mu to 9 lat. Zawsze najbardziej interesowały go działania wojenne w górach. Im poświęcił najwięcej publikacji. Dziś najważniejsze pytania, jakie zadajemy sobie dyskutując o ""Twierdzy Alpejskiej"" brzmią: czy Hitler rzeczywiście zamierzał bronić się w Alpach i przedłużyć wojnę? Jakie nadzieje pokładali w Alpach inni? Autor przedstawia mnóstwo faktów, ułatwiających wyciągnięcie wniosków. Przy okazji odbywamy mozolną, ale opłacalną wędrówkę po najbardziej tajemniczych zakątkach Alp. Krok po kroku, twierdza po twierdzy, pozycja po pozycji. Kaaltenegger stara się usunąć wszystkie niewiadome, choć to trudne zadanie. Poszukiwacze sensacji, przekonujący od lat, że tajemnic powierzonym Alpom przez Trzecią Rzeszę nie da się zgłębić, pewnie będą weryfikować wnioski. Czy zostaną wreszcie przekonani?"
Tajemnica Riese. Na tropach największej kwatery Hitlera	Kowalski J. M., Kudelski R., Rekuć Z.	Biuro Odkryć	Kompleks podziemnych sztolni wydrążony przez Niemców w masywie Gór Sowich już od czasów wojny pobudzał wyobraźnie i stawał się wyzwaniem dla kolejnych pokoleń eksploratorów. Każdy kamień, każde drzewo, zagłębienie w ziemi czy kawałek porzuconego betonu było w tym rejonie setki razy obejrzane, zmierzone, i zbadane. Jednak nikomu nie udało się ostatecznie rozstrzygnąć czym miał być kompleks Riese. Oczywiście napisano dziesiątki książek, stworzono dokładne mapy i wysnuto liczne teorie na ten temat. Niniejsza książka traktuje temat Gór Sowich w inny sposób, nie zajmując się opisem konkretnych miejsc czy inwentaryzacją podziemi.  Autorzy zagłębiają się w tajemnice archiwów, zarówno polskich jak niemieckich i rosyjskich. Trójka doświadczonych poszukiwaczy podąża śladami dokumentów, relacji i zeznań świadków szukając prawdy o Riese. Czy ją znaleźli? O tym przekonacie się czytając tą bogato ilustrowaną, nowatorską publikację.
Metody geofizyczne w planowaniu badań wykopaliskowych	Misiewicz G.	IAiE PAN	Ta pozycja to coś dla prawdziwych wyjadaczy - specjalistyczny podręcznik opisujący kilka tzw. nieinwazyjnych metod wstępnego rozpoznania stanowisk archeologicznych. Oczywiście nas - eksploratorów interesuje możliwość wykorzystania tych metod do wykrywania nowych sztolni, badania przebiegu chodników czy lokalizowania ukrytych pod ziemią przedmiotów. W pierwszej części pracy opisano pokrótce stosowane w archeologii metody: elektrooporowe, elektromagnetyczne, magnetyczne, sejsmiczne i grawimetryczne. Przedstawiono zasady stosowania danej metody, jej możliwości i ograniczenia oraz przykładowe urządzenia. Część druga przedstawia praktyczny aspekt zastosowań poszczególnych metod, poprzez porównianie wyników różnorakich pomiarów i powstałych na tej podstawie hipotez z efektami badań w terenie.     
SS-Galizien. Patrioci czy zbrodniarze?	Prus E.	Nortom	"""SS-Galizien"" - pionierska praca prof. Edwarda Prusa na temat tej esesmańskiej dywizji policyjnej, utworzonej na Kresach wschodnich w 1943 roku, w której wiernie służyli Hitlerowi nacjonaliści ukraińscy. Dywizja powstała w wyniku usilnych starań nacjonalistów ukraińskich spod znaku Organizacji Ukraińskich Nacjonalistów. Utworzenie tej dywizji stanowi niezbity dowód ścisłej współpracy nacjonalistów ukraińskich z hitlerowskimi Niemcami, której obecnie usiłują zaprzeczać. Zbrodniarze z tej dywizji, zapisali się bardzo krwawo w swej działalności uczestnicząc w karnych ekspedycjach i mordując bezbronnych Polaków na Kresach, z których najbardziej znana jest pacyfikacja Huty Pieniackiej, podczas której wymordowano w bestialski sposób ponad osiemset osób - kobiet, starców i dzieci. Za swoje zbrodnie, na skutek nieudolności polskich władz, nie ponieśli żadnej kary."
Architektura obronna w krajobrazie Polski. Od Biskupina do Westerplatte	Bogdanowski J.	PWN	 Pierwsza na polskim rynku wydawniczym tak pełna i nowoczesna synteza dziejów fortyfikacji w Polsce. Obejmuje architekturę obronną począwszy od warowni i grodów epoki kamiennej, poprzez zamki średniowiecza oraz twierdze i fortece XVI-XIX wieku, aż po obszary warowne z czasów II wojny światowej. Książka ta, napisana przystępnym językiem pozwoli każdemu czytelnikowi stać się znawcą architektury obronnej, a ilość szczegółowych informacji dotyczących budowy, funkcjonowania czy uzbrojenia zadowolić powinna także profesjonalistów. Lepszemu przedstawieniu tematu służy ponad 250 tablic rysunków i schematów ze szczegółowymi opisami , które przedstawiają wszystkie aspekty sztuki fortyfikacji, poczynając od sposobów formowania wałów po skomplikowane schematy systemów fortowych.  Osobny rozdział poświęcono losom fortyfikacji w polskim krajobrazie i zagadnieniom dotyczącym rewaloryzacji i konserwacji tego typu obiektów. Doskonałym podsumowaniem tej obszernej pracy jest niemal stu-stronicowy, pięcio-języczny słownik pojęć z dziedziny architektury obronnej. Prawdziwa biblia miłośników fortyfikacji!
Samoloty z którymi walczyli Polacy	Szewczyk W.	Wyd. Komunikacji i Łączności	Ta ciekawa, starannie wydana książka sprawdzi się u każdego miłośnika wojny powietrznej jako podręczny zbiór informacji o samolotach, których w II wojnie światowej używali nasi przeciwnicy. W zwarty, encyklopedyczny sposób prezentowane są tutaj samoloty niemieckie, radzieckie, włoskie i japońskie. Każdy opis zawiera historię rozwoju konstrukcji, zastosowanie podczas wojny, charakterystykę techniczną, rysunek w trzech rzutach oraz archiwalne fotografie.W pierwszej części książki, w dużym skrócie przedstawiono zarys działań wojennych jednostek lotnictwa poszczególnych państw oraz udział Polaków w tych walkach. Istotną cechą tej pozycji jest zebranie i usystematyzowanie informacji o poszczególnych modelach oraz jednakowy sposób prezentacji, dzięki czemu czytelnik ma szansę dokonać wielu porównań i zestawień dotyczących właściwości interesujących go samolotów.
Ostatni naziści. Działania Werwolfu w powojennej Europie	Biddiscombe P.	Bellona	Kim byli wilkołacy? Jakie elementy obejmowało ich szkolenie? Co czuli, działając za liniami najpotężniejszych armii w historii albo spełniając rozkaz terroryzowania własnych ziomków morderczymi akcjami represyjnymi? Jak tego rodzaju działania uzasadniali ludzie, którzy je planowali? Celem niniejszego opracowania jest próbą wyjaśnienia od podstaw narodowosocjalistycznego ruchu partyzanckiego z lat 1944-1945. Wstęp zwraca uwagę na kulturalne i folklorystyczne wątki, które wykorzystywali organizatorzy Werwolfu. W pierwszym rozdziale omówiony został charakter ruchu, w drugim zaś - szkolenie oraz taktyka stosowana przez wilkołaków. Kolejne trzy rozdziały omawiają szczegóły operacji przeprowadzanych przez Werwolf zarówno na zapleczu frontu zachodniego jak i wschodniego, oraz akcji wymierzonych przeciwko niemieckim kolaborantom. Rozdział szósty przedstawia niektóre przykłady działań powojennych grup nawiązujących w okupowanych Niemczech do tradycji Werwolfu. Zakończeniem pracy jest próba przedstawienia konsekwencji istnienia oraz historycznego znaczenia ruchu zbrojnego Werwolf.
Tajne projekty Luftwaffe. Tom I Samoloty myśliwskie 1939-1945	Schick W., Meyer I.	Zysk i S-ka	Książka zawiera niemieckie tajne projekty badawczo-rozwojowe samolotów myśliwskich z lat 1939-1945. Zaprezentowano tu projekty myśliwców ze specjalnymi silnikami tłokowymi oraz z nowoczesnym napędem turbinowo-odrzutowym. W rzeczywistości tylko nieliczne, opracowywane w trakcie wojny pod ogromną presją czasu prototypy samolotów skierowano do produkcji jeszcze przed jej zakończeniem. Wiele z tych projektów pojawiło się po roku 1945 jako konstrukcje amerykańskie, brytyjskie lub rosyjskie. Konstrukcje te wytyczyły przyszłe kierunki rozwoju w lotnictwie cywilnym i wojskowym. Duży format (A4) oraz wspaniała szata graficzna książki pozwala wyobrazić sobie, jak mogły wyglądać niemieckie samoloty myśliwskie. Autorzy na podstawie rysunków, szkiców oraz wiarygodnych materiałów źródłowych chcieli udokumentować wielkie bogactwo tamtych pomysłów. wszystko to pokazuje, że wśród ówczesnych planistów nie było fantastów. lecz naukowcy i inżynierowie, którzy o dziesięciolecia wyprzedzili swoją epokę.
